idnBaseCity	BASE_CITY_CODE	BASE_CITY_NAME	BaseAutomated	BASE_ST_ADDRESS	BASE_CITY	BASE_STATE	BASE_ZIP_1	BASE_ZIP_2	BASE_PHONE_NO	strRegion	BaseEoir1Flag	BaseEoir1Code	BaseEoir1Suba	BaseEoir1Subb	BaseEoir1Subc	BaseEoir1Subd	BaseEoir1Sube	BaseEoir1Subf	BaseEoir2Flag	BaseEoir2Code	BaseEoir2Suba	BaseEoir2Subb	BaseEoir2Subc	BaseEoir2Subd	BaseEoir2Sube	BaseEoir2Subf	BaseEoir5Flag	BaseEoir5Code	BaseEoir5Suba	BaseEoir5Subb	BaseEoir5Subc	BaseEoir5Subd	BaseEoir5Sube	BaseEoir5Subf	BaseEoir6Flag	BaseEoir6Code	BaseEoir6Suba	BaseEoir6Subb	BaseEoir6Subc	BaseEoir6Subd	BaseEoir6Sube	BaseEoir6Subf	BaseEoir7Flag	BaseEoir7Code	BaseEoir7Suba	BaseEoir7Subb	BaseEoir7Subc	BaseEoir7Subd	BaseEoir7Sube	BaseEoir7Subf	BaseEoir34Flag	BaseEoir34Code	BaseEoir34Suba	BaseEoir34Subb	BaseEoir34Subc	BaseEoir34Subd	BaseEoir34Sube	BaseEoir34Subf	BaseEoir35Flag	BaseEoir35Code	BaseEoir35Suba	BaseEoir35Subb	BaseEoir35Subc	BaseEoir35Subd	BaseEoir35Sube	BaseEoir35Subf	BaseEoir36Flag	BaseEoir36Code	BaseEoir36Suba	BaseEoir36Subb	BaseEoir36Subc	BaseEoir36Subd	BaseEoir36Sube	BaseEoir36Subf	BaseEoir39Flag	BaseEoir39Code	BaseEoir39Suba	BaseEoir39Subb	BaseEoir39Subc	BaseEoir39Subd	BaseEoir39Sube	BaseEoir39Subf	I122Flag	I122Code	I122Suba	I122Subb	I122Subc	I122Subd	I122Sube	I122Subf	RopDefault	RopPrtClass	BaseSplPrtClass	datCreatedOn	datModifiedOn	blnActive	blnBCIS
64	SDC	IMMIGRATION COURT	M	146 CCA ROAD, PO BOX 248	LUMPKIN	GA	31815		2298381320	Eastern																																																																																				2010-01-07 11:48:38.000	2025-07-15 12:32:55.000	1	1
66	HOD	IMMIGRATION COURT	M	5520 GREENS ROAD	HOUSTON	TX	77032		2819872112	Western																																																																																				2010-09-17 17:04:53.000	2018-09-08 12:12:42.000	0	0
68	ADL	IMMIGRATION COURT	M	10250 RANCHO RD, SUITE 201A	ADELANTO	CA	92301		7605616500	Western																																																																																				2013-04-01 17:17:02.000	2021-08-04 21:05:35.000	1	1
69	PSD	IMMIGRATION COURT	M	566 VETERAN DRIVE., SUITE 101	PEARSALL	TX	78061		2103685700	Western																																																																																				2015-08-11 14:02:22.000	2024-03-18 00:00:00.000	1	1
72	AUR	IMMIGRATION COURT	M	3130 N. OAKLAND ST.	AURORA	CO	80010		3033610488	Western																																																																																				2016-04-28 09:54:21.000	2020-10-01 15:22:42.000	1	1
73	BTV	IMMIGRATION COURT	M	4250 FEDERAL DRIVE, ROOM F108	BATAVIA	NY	14020		5853454300	Eastern																																																																																				2016-12-06 09:51:11.000	2020-10-01 08:52:51.000	1	1
74	ELC	IMMIGRATION COURT	M	1115 NORTH IMPERIAL AVE	EL CENTRO	CA	92243		7603550070	Western																																																																																				2016-12-20 14:00:58.000	2016-12-20 14:49:55.000	0	1
75	EPD	IMMIGRATION COURT	M	8915 MONTANA AVENUE	EL PASO	TX	79925		9155407854	Western																																																																																				2017-05-18 15:50:38.000	2020-10-21 21:09:08.000	1	1
76	OTM	IMMIGRATION COURT	M	7488 CALZADA DE LA FUENTE	OTAY MESA	CA	92154		6196615600	Western																																																																																				2017-06-15 19:22:44.000	2020-10-01 15:17:44.000	1	1
77	OTO	IMMIGRATION COURT	M	26 McGREGOR RANGE RD - DOOR 1	OTERO	NM	88081		5758248900	Western																																																																																				2017-08-16 12:02:27.000	2020-10-28 21:36:00.000	1	1
