NAME,CITY,ST,ZIP,AOR,TYPE,FY07,Max FY07
FREMONT COUNTY JAIL,CANON CITY,CO,81212,DEN,IGSA,1,13
ST X GOLDEN GROVE,ST CROIX,VI,85000,MIA,IGSA,1,0
ADAMS COUNTY JAIL,BRIGHTON,CO,80601,DEN,IGSA,1,0
COMAL CTY JAIL,NEW BRAUNFELS,TX,78130,SNA,IGSA,1,0
ONEIDA COUNTY JAIL,ORISKANY,NY,13424,BUF,IGSA,1,0
DOUGLAS COUNTY JAIL,CASTLE ROCK,CO,80104,DEN,IGSA,1,16
PINELLAS COUNTY JAIL,CLEARWATER,FL,33762,MIA,IGSA,1,0
US INS/DETENTION & DEPORTATION,BLOOMINGTON,MN,55425,SPM,OTHER,0,0
PALMETTO HOSPITAL,HIALEAH,FL,33016,MIA,IGSA,0,0
COLUMBIA KENDAL HOSPITAL,MIAMI,FL,33175,MIA,IGSA,0,0
AURORA CITY JAIL,AURORA,CO,80017,DEN,IGSA,0,0
WILLIAMSON COUNTY JAIL,GEORGETOWN,TX,78626,SNA,IGSA,0,0
ALLENWOOD (MED) FCI,WHITE DEER,PA,17887,PHI,BOP,0,0
SHAWNEE COUNTY DEPT OF CORR.,TOPEKA,KS,66607,CHI,IGSA,10,38
OSBORN CORR INST,SOMERS,CT,60710,BOS,IGSA,7,33
ONTARIO COUNTY JAIL,CANANDAIGUA,NY,14424,BUF,IGSA,7,27
SEATAC FED.DET.CENTER,SEATAC,WA,98198,SEA,BOP,6,18
BAL D D & P,BALTIMORE,MD,21227,BAL,OTHER,6,43
GRAND FORKS COUNTY GORREC,GRAND FORKS,ND,58208,SPM,IGSA,5,23
MONTGOMERY CONTY JAIL,NORRISTOWN,PA,19404,PHI,IGSA,3,27
KENT CO.,GRAND RAPIDS,MI,49503,DET,IGSA,3,16
VIRGINIA BEACH,VIRGINIA BEACH,VA,23456,WAS,IGSA,2,16
LEAVENWORTH USP,LEAVENWORTH,KS,66048,CHI,BOP,1,0
WYOMING COUNTY JAIL,WARSAW,NY,14569,BUF,IGSA,2,0
NATRONA COUNTY JAIL,CASPER,WY,92601,DEN,IGSA,1,0
TRAVIS CTY JAIL,AUSTIN,TX,78701,SNA,IGSA,1,0
RAMADA HOTEL,EAST BOSTON,MA,21280,BOS,OTHER,1,0
MINICASSIA DET. CENTER,BURLEY,ID,83318,SLC,IGSA,1,0
BSCC AIRPARK UNIT,BIG SPRING,TX,79720,DAL,IGSA,1,0
U.S IMMIGRATION,DETROIT,MI,48207,DET,OTHER,1,0
KODIAK CITY JAIL,KODIAK,AK,99615,SEA,IGSA,1,0
BP STA BELLINGHAM,BELLINGHAM,WA,98227,SEA,IGSA,1,0
SOUTHWEST KEY VILLAGE GREEN,PHOENIX,AZ,85014,PHO,ORR,1,0
ARTHUR KILL CORR FAC S.I.,STATEN ISLAND,NY,10300,NYC,IGSA,1,0
PASSAIC COUNTY JAIL,PATERSON,NJ,75050,NYC,IGSA,1,1
POLLOCK USP,POLLOCK,LA,71467,NOL,BOP,1,0
MEMPHIS FED.CORR.INST.,MEMPHIS,TN,38134,NOL,BOP,1,0
LAKELAND NURSING HOME,PINEVILLE,LA,71360,MIA,IGSA,1,0
CCA NORTHEAST OH CORRECTS,YOUNGSTOWN,OH,44505,MIA,IGSA,1,0
BEAUMONT FEDERAL PRISON,BEAUMONT,TX,77720,HOU,BOP,1,0
BETHANY C.S.,GRAND RAPIDS,MI,49501,DET,IGSA,1,0
FLORENCE FED CORR.INST.,FLORENCE,CO,81292,DEN,BOP,1,0
DEVENS FMC,AYER,MA,14320,BOS,BOP,1,0
CUMBERLAND FCI,CUMBERLAND,MD,21502,BAL,BOP,1,0
CSC SO (FU) MUNIC JAIL,UNION CITY,GA,30291,ATL,IGSA,1,0
CASCADE COUNTY JAIL,GREAT FALLS,MT,59404,SLC,IGSA,1,0
ALLENWOOD U.S.PEN.,WHITE DEER,PA,17887,PHI,BOP,1,0
LONOKE POLICE DEPT DET.CTR,LONOKE,AR,72086,NOL,IGSA,1,0
WASHINGTON FIELD OFFICE,FAIRFAX,VA,22031,WAS,OTHER,1,0
LUTHERAN SOC SERV,LANSING,MI,48917,CHI,ORR,1,0
TETON COUNTY WYO SLC JURI,JACKSON,WY,83001,SLC,IGSA,1,0
US CATHOLIC CONFERENCE OF BISHOPS,RICHMOND,VA,23230,CHI,ORR,1,0
GUADALUPE CTY JAIL,SEGUIN,TX,78156,SNA,IGSA,1,26
DEPARTMENT OF YOUTH AFFAIRS,BARRIGADA,GU,96921,SFR,IGSA,1,0
NO. VA. JUVENILE DET,ALEXANDRIA,VA,22231,WAS,IGSA,0,0
ECONOLODGE MOTEL,TUKWILA,WA,98168,SEA,OTHER,0,0
HARLINGEN MEDICAL CENTER,HARLINGEN,TX,78550,SNA,IGSA,1,0
BROWARD COUNTY JAIL,FT.LAUDERDALE,FL,33301,ATL,IGSA,0,0
WELD COUNTY JAIL,GREELEY,CO,80631,DEN,IGSA,0,0
